Year,DOY,Reference Name
21/04/1558,20/04/2000,OYUDONONO-UENO-NIKKI [EDA]
06/04/1559,05/04/2000,OYUDONONO-UENO-NIKKI
09/04/1560,09/04/2000,DAINIHON-SHIRYO
12/04/1561,11/04/2000,OYUDONONO-UENO-NIKKI
09/04/1562,08/04/2000,OYUDONONO-UENO-NIKKI [EDA]
09/04/1563,08/04/2000,(SHIRYO-SORAN)
18/04/1564,18/04/2000,OYUDONONO-UENO-NIKKI
24/04/1565,23/04/2000,(SHIRYO-SORAN)
07/04/1566,06/04/2000,(SHIRYO-SORAN)
18/04/1567,17/04/2000,OYUDONONO-UENO-NIKKI
15/04/1568,15/04/2000,ATOKAGAMI
22/04/1570,21/04/2000,TOKITSUGU-KYOKI
18/04/1571,17/04/2000,OYUDONONO-UENO-NIKKI [EDA]
16/04/1572,16/04/2000,OYUDONONO-UENO-NIKKI [EDA]
08/04/1574,07/04/2000,EST-from-WF(MASAATSUKYO-EISO)
18/04/1576,18/04/2000,OYUDONONO-UENO-NIKKI [EDA]
10/04/1577,09/04/2000,SHINCHO-KOKI
12/04/1579,11/04/2000,DAINIHON-SHIRYO
06/04/1580,06/04/2000,DAINIHON-SHIRYO
15/04/1581,14/04/2000,OYUDONONO-UENO-NIKKI [EDA]
18/04/1583,17/04/2000,OYUDONONO-UENO-NIKKI
15/04/1584,15/04/2000,SHUNKYUKI(DAIGO)
15/04/1585,14/04/2000,UNONOMONDOKI
16/04/1586,15/04/2000,OYUDONONO-UENO-NIKKI
15/04/1587,14/04/2000,OYUDONONO-UENO-NIKKI
15/04/1588,15/04/2000,
15/04/1589,14/04/2000,OYUDONONO-UENO-NIKKI
12/04/1590,11/04/2000,(SHIRYO-SORAN)
04/04/1591,03/04/2000,HARETOYOKI
07/04/1592,07/04/2000,TOKITSUNE-KYOKI
23/04/1593,22/04/2000,TOKITSUNE-KYOKI(DAIGO)
03/04/1594,02/04/2000,(DAINIHON-SHIRYO(FUSHIMI))
21/04/1595,20/04/2000,OYUDONONO-UENO-NIKKI
13/04/1596,13/04/2000,GIENJUNKO-NIKKI(DAIGO)
24/04/1597,23/04/2000,GIENJUNKO-NIKKI(DAIGO)
20/04/1598,19/04/2000,GIENJUNKO-NIKKI(DAIGO)
13/04/1599,12/04/2000,GIENJUNKO-NIKKI(DAIGO)
10/04/1600,10/04/2000,GIENJUNKO-NIKKI(DAIGO)
03/04/1601,02/04/2000,GIENJUNKO-NIKKI(DAIGO)
17/04/1602,16/04/2000,GIENJUNKO-NIKKI(DAIGO)
